Ticker,Sector,Industry,Stock_Type,Year,Price,Funda_Score,Funda_Label,GPM (%) | Raw,GPM (%) | Skor(1-5),GPM (%) | Bobot,GPM (%) | Kontribusi,OPM (%) | Raw,OPM (%) | Skor(1-5),OPM (%) | Bobot,OPM (%) | Kontribusi,NPM (%) | Raw,NPM (%) | Skor(1-5),NPM (%) | Bobot,NPM (%) | Kontribusi,ROE (%) | Raw,ROE (%) | Skor(1-5),ROE (%) | Bobot,ROE (%) | Kontribusi,ROA (%) | Raw,ROA (%) | Skor(1-5),ROA (%) | Bobot,ROA (%) | Kontribusi,FCF/Net Income | Raw,FCF/Net Income | Skor(1-5),FCF/Net Income | Bobot,FCF/Net Income | Kontribusi,DER (x) | Raw,DER (x) | Skor(1-5),DER (x) | Bobot,DER (x) | Kontribusi,DAR (x) | Raw,DAR (x) | Skor(1-5),DAR (x) | Bobot,DAR (x) | Kontribusi,Interest Cov. (x) | Raw,Interest Cov. (x) | Skor(1-5),Interest Cov. (x) | Bobot,Interest Cov. (x) | Kontribusi,Net Debt/EBITDA (x) | Raw,Net Debt/EBITDA (x) | Skor(1-5),Net Debt/EBITDA (x) | Bobot,Net Debt/EBITDA (x) | Kontribusi,PER (x) | Raw,PER (x) | Skor(1-5),PER (x) | Bobot,PER (x) | Kontribusi,PBV (x) | Raw,PBV (x) | Skor(1-5),PBV (x) | Bobot,PBV (x) | Kontribusi,EV/EBITDA (x) | Raw,EV/EBITDA (x) | Skor(1-5),EV/EBITDA (x) | Bobot,EV/EBITDA (x) | Kontribusi,Div. Yield (%) | Raw,Div. Yield (%) | Skor(1-5),Div. Yield (%) | Bobot,Div. Yield (%) | Kontribusi,Revenue CAGR 3Y (%) | Raw,Revenue CAGR 3Y (%) | Skor(1-5),Revenue CAGR 3Y (%) | Bobot,Revenue CAGR 3Y (%) | Kontribusi,EPS CAGR 3Y (%) | Raw,EPS CAGR 3Y (%) | Skor(1-5),EPS CAGR 3Y (%) | Bobot,EPS CAGR 3Y (%) | Kontribusi,Current Ratio (x) | Raw,Current Ratio (x) | Skor(1-5),Current Ratio (x) | Bobot,Current Ratio (x) | Kontribusi,Inventory TO (x) | Raw,Inventory TO (x) | Skor(1-5),Inventory TO (x) | Bobot,Inventory TO (x) | Kontribusi,Asset Turnover (x) | Raw,Asset Turnover (x) | Skor(1-5),Asset Turnover (x) | Bobot,Asset Turnover (x) | Kontribusi,Receivables TO (x) | Raw,Receivables TO (x) | Skor(1-5),Receivables TO (x) | Bobot,Receivables TO (x) | Kontribusi,Cash Conv. Cycle (hari) | Raw,Cash Conv. Cycle (hari) | Skor(1-5),Cash Conv. Cycle (hari) | Bobot,Cash Conv. Cycle (hari) | Kontribusi,NPM Bank (%) | Raw,NPM Bank (%) | Skor(1-5),NPM Bank (%) | Bobot,NPM Bank (%) | Kontribusi,ROE Bank (%) | Raw,ROE Bank (%) | Skor(1-5),ROE Bank (%) | Bobot,ROE Bank (%) | Kontribusi,ROA Bank (%) | Raw,ROA Bank (%) | Skor(1-5),ROA Bank (%) | Bobot,ROA Bank (%) | Kontribusi,FCF/Net Income Bank | Raw,FCF/Net Income Bank | Skor(1-5),FCF/Net Income Bank | Bobot,FCF/Net Income Bank | Kontribusi,Risk Factor | Raw,Risk Factor | Skor(1-5),Risk Factor | Bobot,Risk Factor | Kontribusi,Asset Turnover Bank (x) | Raw,Asset Turnover Bank (x) | Skor(1-5),Asset Turnover Bank (x) | Bobot,Asset Turnover Bank (x) | Kontribusi,PER Bank (x) | Raw,PER Bank (x) | Skor(1-5),PER Bank (x) | Bobot,PER Bank (x) | Kontribusi,PBV Bank (x) | Raw,PBV Bank (x) | Skor(1-5),PBV Bank (x) | Bobot,PBV Bank (x) | Kontribusi,Div. Yield Bank (%) | Raw,Div. Yield Bank (%) | Skor(1-5),Div. Yield Bank (%) | Bobot,Div. Yield Bank (%) | Kontribusi,Revenue CAGR 3Y Bank (%) | Raw,Revenue CAGR 3Y Bank (%) | Skor(1-5),Revenue CAGR 3Y Bank (%) | Bobot,Revenue CAGR 3Y Bank (%) | Kontribusi,EPS CAGR 3Y Bank (%) | Raw,EPS CAGR 3Y Bank (%) | Skor(1-5),EPS CAGR 3Y Bank (%) | Bobot,EPS CAGR 3Y Bank (%) | Kontribusi,GPM Karya (%) | Raw,GPM Karya (%) | Skor(1-5),GPM Karya (%) | Bobot,GPM Karya (%) | Kontribusi,OPM Karya (%) | Raw,OPM Karya (%) | Skor(1-5),OPM Karya (%) | Bobot,OPM Karya (%) | Kontribusi,DER Karya (x) | Raw,DER Karya (x) | Skor(1-5),DER Karya (x) | Bobot,DER Karya (x) | Kontribusi,Interest Cov. Karya (x) | Raw,Interest Cov. Karya (x) | Skor(1-5),Interest Cov. Karya (x) | Bobot,Interest Cov. Karya (x) | Kontribusi,Net Debt/EBITDA Karya (x) | Raw,Net Debt/EBITDA Karya (x) | Skor(1-5),Net Debt/EBITDA Karya (x) | Bobot,Net Debt/EBITDA Karya (x) | Kontribusi,Current Ratio Karya (x) | Raw,Current Ratio Karya (x) | Skor(1-5),Current Ratio Karya (x) | Bobot,Current Ratio Karya (x) | Kontribusi,Receivables TO Karya (x) | Raw,Receivables TO Karya (x) | Skor(1-5),Receivables TO Karya (x) | Bobot,Receivables TO Karya (x) | Kontribusi
ATIC.JK,Technology,Software,umum,TTM,570,5.76,🟡 CUKUP,13.6012,2,0.03,0.06,6.5664,2,0.08,0.16,2.4578,2,0.08,0.16,36.2737,5,0.12,0.6,3.9831,3,0.04,0.12,,,0.05,0,7.7051,1,0.06,0.06,0.8461,1,0.02,0.02,5.5175,4,0.06,0.24,,,0.06,0,6.3378,5,0.06,0.3,2.299,2,0.06,0.12,,,0.05,0,0,2,0.06,0.12,-6.0199,1,0.03,0.03,-397.203,1,0.03,0.03,1.1727,3,0.03,0.09,6.4629,4,0.03,0.12,1.6206,5,0.03,0.15,4.1866,2,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATIC.JK,Technology,Software,umum,2025,645,6.63,✅ BAGUS,13.6012,2,0.03,0.06,6.5664,2,0.08,0.16,2.4578,2,0.08,0.16,36.2737,5,0.12,0.6,3.9831,3,0.04,0.12,,,0.05,0,7.7051,1,0.06,0.06,0.8461,1,0.02,0.02,5.5175,4,0.06,0.24,1.2768,4,0.06,0.24,7.1717,5,0.06,0.3,2.6015,2,0.06,0.12,3.9612,5,0.05,0.25,0,2,0.06,0.12,275.0885,5,0.03,0.15,44.6605,5,0.03,0.15,1.1727,3,0.03,0.09,6.4629,4,0.03,0.12,1.6206,5,0.03,0.15,4.1866,2,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATIC.JK,Technology,Software,umum,2024,374,6.34,🟡 CUKUP,12.8157,2,0.03,0.06,6.2097,2,0.08,0.16,2.0476,2,0.08,0.16,45.8794,5,0.12,0.6,3.8705,3,0.04,0.12,,,0.05,0,10.3434,1,0.06,0.06,0.8726,1,0.02,0.02,4.3788,3,0.06,0.18,1.2818,4,0.06,0.24,4.7227,5,0.06,0.3,2.1667,2,0.06,0.12,2.8391,5,0.05,0.25,0,2,0.06,0.12,,,0.03,0,,,0.03,0,1.1427,3,0.03,0.09,8.2708,5,0.03,0.15,1.8903,5,0.03,0.15,5.4341,2,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATIC.JK,Technology,Software,umum,2023,500,6.07,🟡 CUKUP,11.9326,2,0.03,0.06,5.7509,2,0.08,0.16,2.3039,2,0.08,0.16,114.2828,5,0.12,0.6,4.3246,3,0.04,0.12,,,0.05,0,24.5144,1,0.06,0.06,0.9277,1,0.02,0.02,3.4863,3,0.06,0.18,2.629,3,0.06,0.18,4.923,5,0.06,0.3,5.6261,1,0.06,0.06,4.6013,5,0.05,0.25,0,2,0.06,0.12,,,0.03,0,,,0.03,0,1.0632,3,0.03,0.09,9.6566,5,0.03,0.15,1.8771,5,0.03,0.15,5.5122,2,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATIC.JK,Technology,Software,umum,2022,392,5.28,🟡 CUKUP,12.7236,2,0.03,0.06,4.6978,1,0.08,0.08,0.8808,2,0.08,0.16,-137.9201,1,0.12,0.12,1.6311,2,0.04,0.08,,,0.05,0,-81.3108,5,0.06,0.3,0.9616,1,0.02,0.02,2.5312,3,0.06,0.18,2.4186,3,0.06,0.18,13.1948,4,0.06,0.24,,,0.06,0,4.8924,5,0.05,0.25,0,2,0.06,0.12,,,0.03,0,,,0.03,0,0.8949,2,0.03,0.06,9.7064,5,0.03,0.15,1.852,5,0.03,0.15,5.4563,2,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATIC.JK,Technology,Software,umum,2021,800,3.39,❌ BURUK,0,1,0.03,0.03,0,1,0.08,0.08,0,2,0.08,0.16,0,1,0.12,0.12,0,1,0.04,0.04,,,0.05,0,0,5,0.06,0.3,0,5,0.02,0.1,0,1,0.06,0.06,,,0.06,0,,,0.06,0,,,0.06,0,,,0.05,0,0,2,0.06,0.12,,,0.03,0,,,0.03,0,0,1,0.03,0.03,0,1,0.03,0.03,0,1,0.03,0.03,0,1,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELI.JK,Consumer Cyclical,Internet Retail,umum,TTM,408,3.9,⚠️ KURANG,18.6024,2,0.03,0.06,-9.6032,1,0.08,0.08,-11.0228,1,0.08,0.08,-25.3579,1,0.12,0.12,-13.1905,1,0.04,0.04,,,0.05,0,0.9014,4,0.06,0.24,0.4689,3,0.02,0.06,-8.418,1,0.06,0.06,,,0.06,0,,,0.06,0,5.9856,1,0.06,0.06,,,0.05,0,0,2,0.06,0.12,13.1151,4,0.03,0.12,,,0.03,0,1.295,3,0.03,0.09,5.9233,4,0.03,0.12,1.1967,4,0.03,0.12,8.6289,3,0.02,0.06,51.8932,3,0.03,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELI.JK,Consumer Cyclical,Internet Retail,umum,2025,492,4.03,⚠️ KURANG,17.4847,2,0.03,0.06,-8.8896,1,0.08,0.08,-10.1913,1,0.08,0.08,-24.6114,1,0.12,0.12,-12.8022,1,0.04,0.04,,,0.05,0,0.9014,4,0.06,0.24,0.4689,3,0.02,0.06,-8.3472,1,0.06,0.06,,,0.06,0,,,0.06,0,7.218,1,0.06,0.06,,,0.05,0,0,2,0.06,0.12,13.5602,4,0.03,0.12,,,0.03,0,1.295,3,0.03,0.09,6.3034,4,0.03,0.12,1.2562,5,0.03,0.15,9.0582,4,0.02,0.08,49.3103,3,0.03,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELI.JK,Consumer Cyclical,Internet Retail,umum,2024,450,3.92,⚠️ KURANG,19.7337,2,0.03,0.06,-13.9686,1,0.08,0.08,-15.1438,1,0.08,0.08,-26.3789,1,0.12,0.12,-15.6612,1,0.04,0.04,,,0.05,0,0.6615,4,0.06,0.24,0.3928,4,0.02,0.08,-9.3319,1,0.06,0.06,,,0.06,0,,,0.06,0,6.1431,1,0.06,0.06,,,0.05,0,0,2,0.06,0.12,,,0.03,0,,,0.03,0,1.4897,3,0.03,0.09,7.0975,4,0.03,0.12,1.0342,4,0.03,0.12,10.2437,4,0.02,0.08,28.4012,4,0.03,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELI.JK,Consumer Cyclical,Internet Retail,umum,2023,482,3.84,⚠️ KURANG,16.3216,2,0.03,0.06,-24.3671,1,0.08,0.08,-24.7434,1,0.08,0.08,-47.7859,1,0.12,0.12,-28.3602,1,0.04,0.04,,,0.05,0,0.656,4,0.06,0.24,0.3893,4,0.02,0.08,-30.9358,1,0.06,0.06,,,0.06,0,,,0.06,0,7.6381,1,0.06,0.06,,,0.05,0,0,2,0.06,0.12,,,0.03,0,,,0.03,0,1.4584,3,0.03,0.09,7.3499,4,0.03,0.12,1.1462,4,0.03,0.12,11.6489,4,0.02,0.08,40.7979,3,0.03,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
